$ CUSTOMER	BOULEVARD					
$ USER	rabeelboulevard					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	PO Reference: W7253863. DO NOT DISPATCH UNTIL CONFIRMED BY KYLA DOWNTON					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	BLVDD0041	2				
$ ITEM	BLVDD0435	1				
$ ITEM	BLVDD0095	1				
$ ITEM	BOUL0067	2				
$ ITEM	BOUL0147	1				
$ ITEM	UMDBV0603	1				
$ ITEM	BVAR0140	1				
$ ITEM	BVAR0002	1				
$ ITEM	BVAR0009	1				
$ ITEM	BVAR0591	7				
$ ITEM	BVAR0627	6				
$ ITEM	BVAR0628	1				
$ ITEM	BVAR0612	1				
$ ITEM	BVAR0592	2				
$ ITEM	BVAR0263	1				
$ ITEM	BVAR0558	1				
$ ITEM	BVAR0603	16				
$ ITEM	BVAR0629	1				
$ ITEM	BMOV0655	2				
$ ITEM	BVAR0509	2				
$ ITEM	BVAR0727	3				
$ ITEM	BVAR0545	14				
$ ITEM	BVAR0613	7				
$ ITEM	BVAR0616	40				
$ ITEM	BVAR0615	5				
$ ITEM	BVAR0622	1				
$ ITEM	BVAR0623	1				
$ ITEM	BVED0099	4				
$ ITEM	BVED0100	3				
Amazon.co.uk	Boundary Way			Hemel Hempstead	Hertfordshire	HP2 7LF
