$ CUSTOMER	ILU2						
$ USER	johninternal						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	Recipient Contact No: 020 7186 6007  // Delivery for Monday 18th November - Pre 12 noon						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	BT001-TRQ-06	1					
$ ITEM	BT001-VLT-08	2					
$ ITEM	BT001-VLT-10	1					
$ ITEM	BT001-WHT-10	1					
$ ITEM	BT003-PNK-08	1					
$ ITEM	BT003-PNK-10	1					
$ ITEM	BT003-PRP-10	1					
$ ITEM	BT003-WHT-12	1					
$ ITEM	BT003-YLW-06	1					
$ ITEM	BT003-YLW-08	1					
$ ITEM	BT003-BLU-08	1					
$ ITEM	BT003-BLU-14	1					
$ ITEM	BT004-BLU-10	1					
$ ITEM	BT004-PNK-08	1					
$ ITEM	BT004-PNK-10	1					
$ ITEM	BT004-PRP-08	1					
$ ITEM	BT004-YLW-06	1					
$ ITEM	BT004-WHT-08	1					
$ ITEM	L003-BLK-06	1					
$ ITEM	L003-BLK-08	2					
$ ITEM	L003-BLK-10	2					
$ ITEM	L003-BLK-12	1					
$ ITEM	L003-BLK-14	1					
$ ITEM	L004-BLK-06	1					
$ ITEM	L004-BLK-08	1					
$ ITEM	L004-BLK-10	2					
$ ITEM	L004-BLK-12	1					
$ ITEM	L004-BLK-14	1					
$ ITEM	L009-PRP-06	1					
$ ITEM	L009-PRP-08	1					
$ ITEM	L009-BLK-10	2					
$ ITEM	L009-BLK-12	1					
$ ITEM	ST001-TRQ-06	1					
$ ITEM	ST001-TRQ-08	1					
$ ITEM	ST001-TRQ-10	1					
$ ITEM	ST001-TRQ-12	1					
$ ITEM	ST001-VLT-08	1					
$ ITEM	ST001-VLT-10	1					
$ ITEM	ST003-BLK-08	2					
$ ITEM	ST003-BLK-10	2					
$ ITEM	ST005-BLK-08	2					
$ ITEM	ST005-BLK-10	2					
Slice Urban Lifestyle	11 Heathman's Road	Parsons Green		London		SW6 4TJ	UK
