$ CUSTOMER	QUANTUM						
$ USER	rabeelquantum						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	P/O: 4484478						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	PVP35091	3					
$ ITEM	RL946	10					
$ ITEM	HL00321278	2					
$ ITEM	RL947	10					
$ ITEM	EACD1704	2					
$ ITEM	3914	5					
$ ITEM	QLDVD0374	2					
$ ITEM	R129DVD	1					
$ ITEM	DFD04	2					
$ ITEM	20232	2					
$ ITEM	Y9105DVD	1					
$ ITEM	MSDVD683	1					
$ ITEM	MSDVD602	1					
$ ITEM	MSDVD595	1					
$ ITEM	QLDVD17622	1					
$ ITEM	LSD04	3					
$ ITEM	ADVD003	1					
$ ITEM	BC2	3					
$ ITEM	BC7	3					
$ ITEM	20495	1					
$ ITEM	20497	1					
$ ITEM	748471	3					
$ ITEM	720325	3					
$ ITEM	GCT318	1					
$ ITEM	QLDVD7134	1					
$ ITEM	STDC1234	1					
$ ITEM	KA8409DVD	1					
$ ITEM	ADVD116	2					
$ ITEM	SVD106	1					
$ ITEM	QLDVD7151	1					
$ ITEM	BODY1	3					
$ ITEM	ADVD171	2					
$ ITEM	ADVD110	1					
$ ITEM	HATSU1	3					
$ ITEM	HATSU2	3					
$ ITEM	ADVD154	2					
$ ITEM	CAP3	3					
$ ITEM	CAP2	3					
$ ITEM	KICK1559	2					
$ ITEM	DW16713	3					
$ ITEM	HVCCM659	1					
$ ITEM	LSD10	1					
$ ITEM	7071	2					
$ ITEM	ERIK2	3					
$ ITEM	AIZIK2	3					
$ ITEM	AIZIK4	3					
$ ITEM	ADVD1876	1					
$ ITEM	ADVD1877	1					
$ ITEM	3911	1					
$ ITEM	SY8807D	1					
$ ITEM	ADVD070	1					
$ ITEM	GCT074	1					
$ ITEM	QLDVD6967	1					
$ ITEM	DUK0446	1					
$ ITEM	DVD950790	2					
$ ITEM	TE2183D	1					
$ ITEM	ADVD006	1					
$ ITEM	ADVD048	1					
$ ITEM	ADVD077	1					
$ ITEM	ADVD044	3					
$ ITEM	GW9667	1					
$ ITEM	M33120	3					
$ ITEM	QLDVD0293	5					
$ ITEM	ADVD124	1					
$ ITEM	HVFF1639	1					
$ ITEM	NJPDVD625	1					
$ ITEM	HVGC1655	3					
$ ITEM	HVGC2656	2					
$ ITEM	JRDVD8017	1					
$ ITEM	751110	1					
$ ITEM	K4466DVD	2					
$ ITEM	K4467DVD	3					
$ ITEM	A7441DVD	1					
$ ITEM	HVIDM658	1					
$ ITEM	QLDVD7060	2					
$ ITEM	BC16	1					
$ ITEM	ADVD054	1					
$ ITEM	ADVD165	1					
$ ITEM	ADVD001	1					
$ ITEM	2707	1					
$ ITEM	FLORES1	3					
$ ITEM	796134	2					
$ ITEM	QLDVD7139	1					
$ ITEM	748177	1					
$ ITEM	QLDVD7067	1					
$ ITEM	M85190	9					
$ ITEM	ADVD1884	1					
$ ITEM	GP087	1					
$ ITEM	DUK0233	1					
$ ITEM	ADVD122	1					
$ ITEM	CHINEN1	3					
$ ITEM	DVD2869045	2					
$ ITEM	TTR22	1					
$ ITEM	ADVD020	1					
$ ITEM	EWB1562	3					
$ ITEM	TL1683	1					
$ ITEM	HVPOF646	3					
$ ITEM	PVP10394	1					
$ ITEM	99000001	1					
$ ITEM	MSDVD532	1					
$ ITEM	HVTDS701	1					
$ ITEM	MDV052	1					
$ ITEM	HSD011	1					
$ ITEM	EACD1784	2					
$ ITEM	ADVD177	1					
$ ITEM	AG1649	1					
$ ITEM	SP2059	1					
$ ITEM	QLDVD6469	1					
$ ITEM	DW16705	2					
$ ITEM	CG1806	1					
$ ITEM	QLDVD7099	2					
$ ITEM	CHIAO1	3					
$ ITEM	792102	5					
$ ITEM	ADVD102	1					
$ ITEM	GP155	1					
$ ITEM	753948	1					
$ ITEM	SVD140	2					
$ ITEM	EAC0445	1					
$ ITEM	EACD1786	3					
$ ITEM	EACD1427	3					
$ ITEM	EACD1426	1					
$ ITEM	FUSE2	3					
$ ITEM	PPD01	1					
$ ITEM	ADVD021	1					
$ ITEM	ADVD107	3					
$ ITEM	CMV7005	2					
$ ITEM	ADVD062	1					
$ ITEM	QLDVD6750	3					
$ ITEM	HPL1506	1					
$ ITEM	MSD1228	2					
$ ITEM	STDC1210	1					
$ ITEM	ADVD119	1					
$ ITEM	QLDVD7128	1					
$ ITEM	HVACTS696	1					
$ ITEM	QLDVD6915	1					
$ ITEM	QLDVD6914	1					
$ ITEM	ADVD074	1					
$ ITEM	SVD138	1					
$ ITEM	XTD919	2					
$ ITEM	MW004	1					
$ ITEM	QLDVD7059	1					
$ ITEM	ADVD179	1					
$ ITEM	AG1647	1					
$ ITEM	M213704	1					
$ ITEM	ADVD1885	2					
$ ITEM	769100	1					
Gardners Books	Goods- In Area	1 Whittle Drive	Willingdon Drove	Eastbourne		BN23 6QH	UK
