
$ CUSTOMER	QUANTUM						
$ USER	stewartquantum						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	P/O Number: 4459512 (VITALIJA GRUNDAITE - 01323 521555)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	KA8764DVD	1					
$ ITEM	KA8765DVD	1					
$ ITEM	2706	1					
$ ITEM	HOCH2	3					
$ ITEM	QLDVD6055	2					
$ ITEM	GP140	1					
$ ITEM	XTD031	1					
$ ITEM	2326	1					
$ ITEM	KG1171DVD	1					
$ ITEM	KA8754DVD	1					
$ ITEM	KA8753DVD	1					
$ ITEM	KA8749DVD	1					
$ ITEM	KA8747DVD	1					
$ ITEM	KA8742DVD	1					
$ ITEM	KA8744DVD	1					
$ ITEM	KA8741DVD	1					
$ ITEM	KA8743DVD	1					
$ ITEM	KA8752DVD	1					
$ ITEM	KA8751DVD	1					
$ ITEM	KA8750DVD	1					
$ ITEM	KA8748DVD	1					
$ ITEM	KA8761DVD	1					
$ ITEM	KA8760DVD	1					
$ ITEM	KA8759DVD	1					
$ ITEM	KA8758DVD	1					
$ ITEM	KA8746DVD	1					
$ ITEM	KA8756DVD	1					
$ ITEM	KA8757DVD	1					
$ ITEM	KA8762DVD	1					
$ ITEM	KA8763DVD	1					
$ ITEM	KA8745DVD	1					
$ ITEM	KA8572DVD	1					
$ ITEM	KA8568DVD	1					
$ ITEM	KA8569DVD	1					
$ ITEM	KA8570DVD	1					
$ ITEM	5032260610021	2					
$ ITEM	QLDVD7018	3					
$ ITEM	GP125	1					
$ ITEM	TW08	2					
$ ITEM	QLDVD7099	2					
$ ITEM	UCPD0485	2					
$ ITEM	2336	1					
$ ITEM	20379	2					
$ ITEM	20381	2					
$ ITEM	STDC1210	1					
$ ITEM	A7033DVD	1					
$ ITEM	RL946	5					
Gardners Books	Goods In Area	1 Whittle Drive	Willingdon Drove	Eastbourne	East Sussex	BN23 6QH                 	UK
