$ CUSTOMER	QUANTUM			
$ USER	rabeelquantum			
$ CONSIGNEE	A			
$ CONSIGNEECONTACT				
$ ADDR1	B			
$ ADDR2	C			
$ ADDR3	D			
$ TOWN	E			
$ REGION	F			
$ COUNTRY	H			
$ DEFAULTUK				
$ POSTCODE	G			
$ CUSTREF1				
$ CUSTREF2				
$ CUSTREF3				
$ CUSTREF4				
$ DEFAULTSPECIALINSTRUCTIONS	BM100082672			
$ DEFAULTPACKINGNOTE	(none)			
$ DEFAULTCUSTREF1	(none)			
$ DEFAULTCUSTREF2	(none)			
$ DEFAULTCUSTREF3	(none)			
$ DEFAULTCUSTREF4	(none)			
$ DEFAULTUK				
$ ITEMORDER	PQ			
$ ITEM	1377	1		
$ ITEM	5413	1		
$ ITEM	5989	1		
$ ITEM	8618	1		
$ ITEM	8623	1		
$ ITEM	69313	1		
$ ITEM	82426	1		
$ ITEM	82428	1		
$ ITEM	82429	1		
$ ITEM	903374	1		
$ ITEM	ACE11056F	1		
$ ITEM	ACVD023	1		
$ ITEM	ACVD028	1		
$ ITEM	ACVD030	1		
$ ITEM	ADVD242	2		
$ ITEM	AV600061	2		
$ ITEM	B000124509	1		
$ ITEM	BNTITV04	1		
$ ITEM	BW010	1		
$ ITEM	CS1719	1		
$ ITEM	DFD03	1		
$ ITEM	DJ903	1		
$ ITEM	DR4315	1		
$ ITEM	DS91736	1		
$ ITEM	DS92085	3		
$ ITEM	DT64799	1		
$ ITEM	DUK0220	1		
$ ITEM	DV10031	1		
$ ITEM	DV10241	1		
$ ITEM	DV11616	1		
$ ITEM	DWL1533	1		
$ ITEM	DWL1665	1		
$ ITEM	EACD1426	1		
$ ITEM	EACD1467	1		
$ ITEM	EWB1562	1		
$ ITEM	F8829DVD	1		
$ ITEM	FR00998	1		
$ ITEM	GKF0002	1		
$ ITEM	GOLF1537	1		
$ ITEM	GW313	1		
$ ITEM	GW504	1		
$ ITEM	GW505	1		
$ ITEM	GW506	1		
$ ITEM	GW811	1		
$ ITEM	GW812	1		
$ ITEM	GW908	1		
$ ITEM	GW949	1		
$ ITEM	H361DVD	1		
$ ITEM	HL00320233	1		
$ ITEM	HL00320274	1		
$ ITEM	HL00320355	1		
$ ITEM	HL00320475	1		
$ ITEM	HL00320511	1		
$ ITEM	HL00320517	1		
$ ITEM	HL00320700	2		
$ ITEM	HL00321278	1		
$ ITEM	HL00641599	1		
$ ITEM	HL00641678	1		
$ ITEM	HL00641726	1		
$ ITEM	HL00641819	1		
$ ITEM	HL00641844	1		
$ ITEM	HL00641851	1		
$ ITEM	HL00641882	1		
$ ITEM	HL00641887	1		
$ ITEM	HL00641895	1		
$ ITEM	HL00641928	1		
$ ITEM	HL00695907	1		
$ ITEM	HL00695909	1		
$ ITEM	HL02500840	1		
$ ITEM	HL02500899	1		
$ ITEM	HL02501307	1		
$ ITEM	HL320254	1		
$ ITEM	HOT100	1		
$ ITEM	HOT117	1		
$ ITEM	HOT144	1		
$ ITEM	HOT173	1		
$ ITEM	HOT224	1		
$ ITEM	HOT702	1		
$ ITEM	HOT709	1		
$ ITEM	HOT711	1		
$ ITEM	HVTTJ699	1		
$ ITEM	IMP901904	1		
$ ITEM	IMP904224	2		
$ ITEM	IMP904497	1		
$ ITEM	IMP904914	1		
$ ITEM	IMP905772	1		
$ ITEM	IMP905858	1		
$ ITEM	IMP906072	1		
$ ITEM	IMP906073	1		
$ ITEM	IMP906729	1		
$ ITEM	IMP906840	1		
$ ITEM	IMP906842	1		
$ ITEM	IMP907024	1		
$ ITEM	IMP907129	1		
$ ITEM	IMP908065	1		
$ ITEM	IMP908067	1		
$ ITEM	IMP908070	1		
$ ITEM	IMP908106	1		
$ ITEM	IPL272	1		
$ ITEM	IPL296	1		
$ ITEM	JB000227	2		
$ ITEM	JD11021	1		
$ ITEM	JD11026	1		
$ ITEM	JFCDVD03	1		
$ ITEM	JFCDVD05	1		
$ ITEM	JRDVD8017	1		
$ ITEM	K0001	1		
$ ITEM	K4253DVD	1		
$ ITEM	K4461DVD	1		
$ ITEM	K4471DVD	1		
$ ITEM	K4473DVD	1		
$ ITEM	KF005	1		
$ ITEM	KICK1662	1		
$ ITEM	KV1568	1		
$ ITEM	M86540	1		
$ ITEM	M89020	1		
$ ITEM	MDV022	1		
$ ITEM	MIL1850	3		
$ ITEM	MK1577	1		
$ ITEM	MP42069	1		
$ ITEM	MSD1272	1		
$ ITEM	MSD1282	1		
$ ITEM	MSD1285	2		
$ ITEM	MVD0475	1		
$ ITEM	MW001	1		
$ ITEM	MW011	1		
$ ITEM	N9703DVD	1		
$ ITEM	N9704DVD	1		
$ ITEM	OM30195	1		
$ ITEM	PC1635	1		
$ ITEM	PREVIS1738	2		
$ ITEM	PVP10394	1		
$ ITEM	PVP35091	4		
$ ITEM	QLDVD0246	1		
$ ITEM	QLDVD0263	1		
$ ITEM	QLDVD0289	1		
$ ITEM	QLDVD0290	1		
$ ITEM	QLDVD0295	1		
$ ITEM	QLDVD0300	1		
$ ITEM	QLDVD0302	2		
$ ITEM	QLDVD0306	2		
$ ITEM	QLDVD6113	1		
$ ITEM	QLDVD6215	1		
$ ITEM	QLDVD6236	1		
$ ITEM	QLDVD6442	1		
$ ITEM	QLDVD6443	1		
$ ITEM	QLDVD6446	1		
$ ITEM	QLDVD6449	1		
$ ITEM	QLDVD6469	1		
$ ITEM	QLDVD6628	1		
$ ITEM	QLDVD6636	1		
$ ITEM	QLDVD6676	1		
$ ITEM	QLDVD6712	1		
$ ITEM	QLDVD6774	1		
$ ITEM	QLDVD6847	1		
$ ITEM	QLDVD6878	2		
$ ITEM	QLDVD6880	1		
$ ITEM	QLDVD6891	1		
$ ITEM	QLDVD6904	1		
$ ITEM	QLDVD6912	1		
$ ITEM	QLDVD6967	1		
$ ITEM	QLDVD6970	1		
$ ITEM	QLDVD6972	1		
$ ITEM	QLDVD6992	1		
$ ITEM	R276DVD	1		
$ ITEM	RDR0003	1		
$ ITEM	RDR0012	1		
$ ITEM	RDR0027	1		
$ ITEM	RDR0067	1		
$ ITEM	RDR0166	1		
$ ITEM	SD024	1		
$ ITEM	SD026	1		
$ ITEM	SD031	1		
$ ITEM	SD035	1		
$ ITEM	SD036	1		
