
$ CUSTOMER	POS1	
$ USER		
$ CONSIGNEE	A	
$ CONSIGNEECONTACT		
$ ADDR1	B	
$ ADDR2	C	
$ ADDR3	D	
$ TOWN	E	
$ REGION	F	
$ COUNTRY	H	
$ DEFAULTUK		
$ POSTCODE	G	
$ CUSTREF1		
$ CUSTREF2		
$ CUSTREF3		
$ CUSTREF4		
$ DEFAULTSPECIALINSTRUCTIONS	(no special instructions)	
$ DEFAULTPACKINGNOTE	(none)	
$ DEFAULTCUSTREF1	(none)	
$ DEFAULTCUSTREF2	(none)	
$ DEFAULTCUSTREF3	(none)	
$ DEFAULTCUSTREF4	(none)	
$ DEFAULTUK		
$ ITEMORDER	PQ	
$ ITEM	TW634904608026NAS	42
$ ITEM	TW656605607726NAS	33
$ ITEM	TW45778036325NAS	16
$ ITEM	TW656605609225NAS	9
$ ITEM	TW5021392692128NAS	8
$ ITEM	TW5414939276828NAS	7
$ ITEM	TW3596972332623NAS	2
$ ITEM	TW5034202026822NAS	6
$ ITEM	TW634904032425NAS	5
$ ITEM	TW5051083047852NAS	4
$ ITEM	TW5051083058841NAS	3
$ ITEM	TW5050954178220NAS	2
$ ITEM	TW5060146091923NAS	2
$ ITEM	TW899922001260NAS	2
$ ITEM	TW603967145922NAS	2
$ ITEM	TW634904155902NAS	2
$ ITEM	TW656605608327NAS	1
$ ITEM	TW634904055523NAS	1
$ ITEM	TW5021392602127NAS	1
$ ITEM	TW652637320824NAS	1
$ ITEM	TW652637323122NAS	1
$ ITEM	TW652637300321NAS	1
$ ITEM	TW5024545542028NAS	1
$ ITEM	TW5024545611625NAS	1
$ ITEM	TW5024545638820NAS	1
$ ITEM	TW5051083056977NAS	1
$ ITEM	TW600116999726NAS	1
$ ITEM	TW5060246122169NAS	1
$ ITEM	TW5060100668765NAS	1
$ ITEM	TW5050954206725NAS	1
$ ITEM	TW5050954262325NAS	1
$ ITEM	TW5414939230028NAS	1
$ ITEM	TW5050954257222NAS	1
$ ITEM	TW5060146091619NAS	1
$ ITEM	TW655035047829NAS	1
$ ITEM	TW5051083051910NAS	1
$ ITEM	TW5413356520132NAS	1
$ ITEM	TW5414939147425NAS	1
$ ITEM	TW644110016027NAS	1
$ ITEM	TW5051083047609NAS	1
$ ITEM	TW5051083059572NAS	1
$ ITEM	TW5050954237620NAS	1
$ ITEM	TW603967141825NAS	1
$ ITEM	TW803238009629NAS	1
$ ITEM	TW746105050426NAS	1
$ ITEM	TW5060100667270NAS	1
$ ITEM	TW801061019020NAS	1
$ ITEM	TW801061019327NAS	1
$ ITEM	TW5021392694221NAS	1
$ ITEM	TW5021392264127NAS	1
