$ CUSTOMER	QUANTUM					
$ USER	rabeelquantum					
$ CONSIGNEE	A					
$ CONSIGNEECONTACT						
$ ADDR1	B					
$ ADDR2	C					
$ ADDR3	D					
$ TOWN	E					
$ REGION	F					
$ COUNTRY	H					
$ DEFAULTUK						
$ POSTCODE	G					
$ CUSTREF1						
$ CUSTREF2						
$ CUSTREF3						
$ CUSTREF4						
$ DEFAULTSPECIALINSTRUCTIONS	4474187					
$ DEFAULTPACKINGNOTE	(none)					
$ DEFAULTCUSTREF1	(none)					
$ DEFAULTCUSTREF2	(none)					
$ DEFAULTCUSTREF3	(none)					
$ DEFAULTCUSTREF4	(none)					
$ DEFAULTUK						
$ ITEMORDER	PQ					
$ ITEM	753948	1				
$ ITEM	753979	1				
$ ITEM	756024	2				
$ ITEM	781918	1				
$ ITEM	ADVD003	1				
$ ITEM	ADVD006	1				
$ ITEM	ADVD020	1				
$ ITEM	ADVD107	3				
$ ITEM	ADVD110	1				
$ ITEM	ADVD119	1				
$ ITEM	ADVD122	1				
$ ITEM	ADVD124	1				
$ ITEM	ADVD165	1				
$ ITEM	ADVD171	2				
$ ITEM	ADVD179	1				
$ ITEM	ADVD226	1				
$ ITEM	CG1805	1				
$ ITEM	DUK0229	2				
$ ITEM	DUK1438	1				
$ ITEM	GCT708	3				
$ ITEM	HL00321278	1				
$ ITEM	HL00642053	1				
$ ITEM	MSDVD593	1				
$ ITEM	QLDVD7046	1				
$ ITEM	RL902	2				
$ ITEM	STDC1210	1				
GARDNERS BOOKS	1 Whittle Drive	Eastbourne		East Sussex		BN23 6QH
