
$ CUSTOMER	VAE1						
$ USER	stewartvaepe						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	Transglobal Shipment to Norway						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	LOUNGEACCESSMIXNIC	200					
$ ITEM	LOUNGEACCESSMIXZERO	500					
$ ITEM	LOUNGERCHERRY11	25					
$ ITEM	LOUNGERCHERRY16	25					
$ ITEM	MY34149	25					
$ ITEM	LOUNGERGOLD12	50					
$ ITEM	LOUNGERGOLD24	25					
$ ITEM	MY34292	50					
$ ITEM	LOUNGERMENTH16	50					
$ ITEM	MY34292	50					
$ ITEM	LOUNGERRED12	50					
$ ITEM	LOUNGERRED24	50					
$ ITEM	MY34146	6					
$ ITEM	LOUNGERSILVER24	25					
$ ITEM	MY34144	200					
$ ITEM	MY34140	200					
$ ITEM	MY34143	200					
$ ITEM	MY34142	200					
$ ITEM	MY34141	200					
$ ITEM	MY30857	10					
$ ITEM	MY30873	20					
$ ITEM	MY30861	20					
$ ITEM	My30865	20					
$ ITEM	MY30869	20					
Bjorn Holst	Lebonna HB	Besmansvagen 12		BROMMA		168 34	Norway
