
$ CUSTOMER	BOULEVARD						
$ USER	stewartboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	(none)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	FFDVD8100	5					
$ ITEM	UMDBV1380	240					
$ ITEM	UMDBV0964	210					
$ ITEM	BVAR0542	175					
$ ITEM	REVD2756	175					
$ ITEM	BLVDD0104	150					
$ ITEM	BLVDD0590	150					
$ ITEM	UMDBV0603	120					
$ ITEM	INF460	100					
$ ITEM	INF458	100					
$ ITEM	REVD2542	75					
$ ITEM	BMOV0655	75					
$ ITEM	REVD2840	75					
$ ITEM	BVAR0606	61					
$ ITEM	3023901000	50					
$ ITEM	BVAR0406	50					
$ ITEM	BVAR0626	50					
$ ITEM	REVD2612	50					
$ ITEM	6938902	50					
$ ITEM	MTD5434	50					
$ ITEM	REVD2792	50					
$ ITEM	REVD2838	50					
$ ITEM	UMDBV0688	45					
$ ITEM	UMDBV0846	45					
$ ITEM	UMDBV0608	45					
$ ITEM	UMDBV1282	45					
$ ITEM	UMDBV0869	45					
$ ITEM	UMDBV0716	36					
$ ITEM	BVAR0611	35					
$ ITEM	BOUL0061	35					
$ ITEM	BVAR0209	31					
$ ITEM	UMDBV0761	30					
$ ITEM	UMDBV0759	30					
$ ITEM	UMDBV1259	30					
$ ITEM	UMDBV1889	30					
$ ITEM	UMDBV0618	30					
$ ITEM	UMDBV0606	30					
$ ITEM	BLVDD0900	28					
$ ITEM	BLVDD0047	25					
$ ITEM	WNRD2277	25					
$ ITEM	RISINGCD033	25					
$ ITEM	5304542	25					
$ ITEM	LTDMG014	25					
$ ITEM	BOUL0456	25					
$ ITEM	GRD1030	25					
$ ITEM	BOUL0989	25					
$ ITEM	BVED0122	25					
$ ITEM	UMDBV0762	25					
$ ITEM	BVAR0526	25					
$ ITEM	VTDCD961	25					
$ ITEM	BVAR0625	25					
$ ITEM	BOUL0582	25					
$ ITEM	BVAR0203	25					
$ ITEM	REVD2906	25					
$ ITEM	BOUL0883	25					
$ ITEM	BVENT0560	25					
$ ITEM	BVAR0612	25					
$ ITEM	BVAR0607	25					
$ ITEM	BLVDD0742	25					
$ ITEM	BVAR0263	25					
$ ITEM	BOUL0564	25					
$ ITEM	BOUL0056	25					
$ ITEM	BVAR0588	25					
$ ITEM	CDV3048	25					
$ ITEM	BVAR0590	25					
$ ITEM	boul0064	25					
$ ITEM	BVAR0518	25					
$ ITEM	BVAR0505	25					
$ ITEM	BOUL0824	25					
$ ITEM	BVAR0605	25					
$ ITEM	BLVDD0626-H	25					
$ ITEM	5311851	25					
$ ITEM	3810432	25					
$ ITEM	BVAR0620	25					
$ ITEM	REVD2126	25					
$ ITEM	DECULT20	25					
$ ITEM	BVAR0504	25					
$ ITEM	BVAR0205	25					
$ ITEM	BVAR0592	25					
$ ITEM	BVAR0548	25					
$ ITEM	BVAR0581	25					
$ ITEM	BOUL0893	25					
$ ITEM	BOUL0071	25					
$ ITEM	2564693494	25					
$ ITEM	BLVDD0427	25					
$ ITEM	BMOV0666	25					
$ ITEM	BMOV0665	25					
$ ITEM	BLVDD0746	25					
$ ITEM	BMOV0660	25					
$ ITEM	REVD2920	25					
$ ITEM	BOUL0900	25					
$ ITEM	REVD2950	25					
$ ITEM	KRKCD039	24					
$ ITEM	LDVD093	19					
$ ITEM	UMDBV1281	19					
$ ITEM	CRIMCD433	18					
$ ITEM	5051442917024	18					
$ ITEM	8303383	18					
$ ITEM	UMDBV0799	15					
$ ITEM	UMDBV1374	15					
$ ITEM	UMDBV0705	15					
$ ITEM	UMDBV1372	15					
$ ITEM	UMDBV0620	15					
$ ITEM	UMDBV1044	15					
$ ITEM	UMDBV0592	15					
$ ITEM	UMDBV0599	15					
$ ITEM	UMDBV1113	15					
$ ITEM	UMDBV0619	15					
$ ITEM	UMDBV1173	10					
$ ITEM	UMDBV1364	9					
$ ITEM	D024405	8					
Amazon.co.uk	Goods-In Area	LTN2	Boundary Way	Hemel Hempstead		HP2 7LF	UK
