
$ CUSTOMER	DBP1						
$ USER	stewartinternal						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	(no special instructions)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	NFL2011AS	3					
$ ITEM	NFL2011QB	5					
$ ITEM	MLB25ROOKIE	4					
$ ITEM	NBA25ROOKIE	4					
$ ITEM	NFL25ROOKIE	8					
$ ITEM	BBFS224	64					
$ ITEM	BBFS234	13					
$ ITEM	BBFS9	14					
$ ITEM	BBSC1	13					
$ ITEM	BBSC3	13					
$ ITEM	BBSC38	34					
$ ITEM	BBSC7	12					
$ ITEM	BKFS11	1					
$ ITEM	FBUB22	11					
$ ITEM	MLB1992K	4					
$ ITEM	MLBDONRUSS1990RP	30					
$ ITEM	MLBT1988RP	4					
$ ITEM	MLBTOPPS1987RP	1					
$ ITEM	MLBTOPPS1989VP	1					
$ ITEM	MLBUD1990HS	15					
$ ITEM	MLBUD1991FE	4					
$ ITEM	NFLUD1993SB	2					
$ ITEM	MLBANGELSCB1	4					
$ ITEM	MLBATLANTACB1	5					
$ ITEM	MLBLADCB1	4					
$ ITEM	MLBMETSCB1	3					
$ ITEM	MLBNYYCB1	5					
$ ITEM	NBALAKERSCB1	2					
$ ITEM	NFLBENGALSCB1	1					
$ ITEM	NFLCBEARSCB1	1					
$ ITEM	NFLDETROITCB1	3					
$ ITEM	NFLDL3DC	17					
$ ITEM	NFLEAGLESCB1	3					
$ ITEM	NFLGBAYPCB1	3					
$ ITEM	NFLJJCB1	3					
$ ITEM	NFLMIAMICB1	1					
$ ITEM	NFLNOSCB1	1					
$ ITEM	NFLNYGCB1	4					
$ ITEM	NFLNYJCB1	2					
$ ITEM	NFLPANTHERSCB1	4					
$ ITEM	NFLPSCB1	1					
$ ITEM	NFLRAVENSCB1	4					
$ ITEM	NFLSF49CB1	2					
$ ITEM	NFLWRCB1	1					
$ ITEM	NLBBRSCB1	2					
$ ITEM	MLBUD1992MVP	3					
$ ITEM	NFLJMUDPS	7					
$ ITEM	MLBDICEKCD	12					
$ ITEM	MLBT2009RP	15					
$ ITEM	MLBWN4MEU	10					
$ ITEM	NFLAFALCONS4MEU	1					
$ ITEM	NFLBILLS4FM	12					
$ ITEM	NFLJJ4FM	10					
$ ITEM	NFLUD2007VP	3					
$ ITEM	MLBF3101181	5					
$ ITEM	MLBF3176271	5					
$ ITEM	MLBF3176341	3					
$ ITEM	MLBF3NYY	6					
$ ITEM	NFLF3068511	3					
$ ITEM	NFLF3252651	5					
$ ITEM	NFLF3252671	6					
$ ITEM	NFLF3252681	2					
$ ITEM	NFLF3252721	6					
$ ITEM	NFLF3253971	1					
$ ITEM	NFLF325711	5					
Kim Lyons	643 Doubleplay		5 Bremen Grove,	Shenley Brook End	Milton Keynes	MK5 7FJ	UK
