
$ CUSTOMER	QUANTUM				
$ USER	garypeet				
$ CONSIGNEE	A				
$ CONSIGNEECONTACT					
$ ADDR1	B				
$ ADDR2	C				
$ ADDR3	D				
$ TOWN	E				
$ REGION	F				
$ COUNTRY	H				
$ DEFAULTUK					
$ POSTCODE	G				
$ CUSTREF1					
$ CUSTREF2					
$ CUSTREF3					
$ CUSTREF4					
$ DEFAULTSPECIALINSTRUCTIONS	BM100081890				
$ DEFAULTPACKINGNOTE	(none)				
$ DEFAULTCUSTREF1	(none)				
$ DEFAULTCUSTREF2	(none)				
$ DEFAULTCUSTREF3	(none)				
$ DEFAULTCUSTREF4	(none)				
$ DEFAULTUK					
$ ITEMORDER	PQ				
$ ITEM	1720	3			
$ ITEM	2211	1			
$ ITEM	2325	1			
$ ITEM	2511	1			
$ ITEM	3911	5			
$ ITEM	4317	1			
$ ITEM	5426	1			
$ ITEM	5990	1			
$ ITEM	8591	2			
$ ITEM	8598	1			
$ ITEM	8641	2			
$ ITEM	8654	1			
$ ITEM	20339	1			
$ ITEM	20377	1			
$ ITEM	47023	1			
$ ITEM	62073	1			
$ ITEM	62383	1			
$ ITEM	62533	1			
$ ITEM	62823	1			
$ ITEM	63083	1			
$ ITEM	63293	1			
$ ITEM	64114	1			
$ ITEM	64393	1			
$ ITEM	64664	1			
$ ITEM	65763	1			
$ ITEM	66443	1			
$ ITEM	67513	1			
$ ITEM	67573	1			
$ ITEM	68283	1			
$ ITEM	68353	1			
$ ITEM	99188	1			
$ ITEM	107450	1			
$ ITEM	458029	1			
$ ITEM	786857	1			
$ ITEM	903369	1			
$ ITEM	903372	1			
$ ITEM	2618026	1			
$ ITEM	887211786	1			
$ ITEM	ACE11022A	1			
$ ITEM	ACE11028A	1			
$ ITEM	ACVD016	1			
$ ITEM	ADVD062	1			
$ ITEM	ADVD207	1			
$ ITEM	ADVD211	1			
$ ITEM	ANA50480	1			
$ ITEM	ASC13403	5			
$ ITEM	AUG0051D	1			
$ ITEM	AUSTINGOHDV	1			
$ ITEM	BLU5035	1			
$ ITEM	BOE7277	1			
$ ITEM	BOE7383	1			
$ ITEM	BW011	1			
$ ITEM	BX790296VD	1			
$ ITEM	BX859696VD	1			
$ ITEM	BX861896VD	1			
$ ITEM	CC110	1			
$ ITEM	CK8102	1			
$ ITEM	CLP0062	1			
$ ITEM	CMCD1642	1			
$ ITEM	COL910693VD	1			
$ ITEM	COL910893VD	1			
$ ITEM	COL910993VD	1			
$ ITEM	COL922693VD	1			
$ ITEM	D201	1			
$ ITEM	DE4132	1			
$ ITEM	DE4780	1			
$ ITEM	DE7395	1			
$ ITEM	DGS950321	1			
$ ITEM	DGS950323	1			
$ ITEM	DGS950353	1			
$ ITEM	DNGDVD3	1			
$ ITEM	DR2316	1			
$ ITEM	DR6999	1			
$ ITEM	DS30002	1			
$ ITEM	DS92086	1			
$ ITEM	DT16044	1			
$ ITEM	DUK0065	1			
$ ITEM	DUK0123	1			
$ ITEM	DUK0230	1			
$ ITEM	DV01SI01	1			
$ ITEM	DV10263	1			
$ ITEM	DVD220992	1			
$ ITEM	DVD8516	1			
$ ITEM	DVDIV001	1			
$ ITEM	DVDTF55084	1			
$ ITEM	DW16717	1			
$ ITEM	DW16718	1			
$ ITEM	DWL100277	1			
$ ITEM	EACD1493	1			
$ ITEM	EMH408	2			
$ ITEM	F471DVD	1			
$ ITEM	FDVD2057	1			
$ ITEM	FDVD2069	2			
$ ITEM	FR00905	1			
$ ITEM	FR00931	1			
$ ITEM	FR00932	1			
$ ITEM	FT9753	1			
$ ITEM	FT9774	1			
$ ITEM	GAMDVD01	1			
$ ITEM	GP079	1			
$ ITEM	GRV10507	1			
$ ITEM	GSP00112	1			
$ ITEM	GW311	1			
$ ITEM	GW960	1			
$ ITEM	HL00000328	1			
$ ITEM	HL00001211	1			
$ ITEM	HL00314740	1			
$ ITEM	HL00320312	1			
$ ITEM	HL00320322	3			
$ ITEM	HL00320415	1			
$ ITEM	HL00320419	1			
$ ITEM	HL00320420	1			
$ ITEM	HL00320479	1			
$ ITEM	HL00320538	1			
$ ITEM	HL00320603	1			
$ ITEM	HL00320707	1			
$ ITEM	HL00320849	1			
$ ITEM	HL00320932	1			
$ ITEM	HL00321005	1			
$ ITEM	HL00321278	7			
$ ITEM	HL00321279	3			
$ ITEM	HL00641552	1			
$ ITEM	HL00641795	1			
$ ITEM	HL00641804	1			
$ ITEM	HL00642024	1			
$ ITEM	HL00642051	1			
$ ITEM	HL00642055	1			
$ ITEM	HL00642071	1			
$ ITEM	HL00642159	1			
$ ITEM	HL02500481	1			
