
$ CUSTOMER	POS1						
$ USER	stewartpositive						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	(no special instructions)						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	TW00316861773755NAS	25					
$ ITEM	TW0033299039915523NAS	6					
$ ITEM	TW0033299039916124NAS	4					
$ ITEM	TW0033299039935026NAS	13					
$ ITEM	TW0035036369804190NAS	14					
$ ITEM	TW0035050467368620NAS	3					
$ ITEM	TW0035050467756120NAS	25					
$ ITEM	TW0035051011246128NAS	1					
$ ITEM	TW0035051442253221NAS	18					
$ ITEM	TW0035051442814521NAS	3					
$ ITEM	TW0035051442817324NAS	19					
$ ITEM	TW0035051865913825NAS	21					
$ ITEM	TW0035051865961222NAS	28					
$ ITEM	TW00354645172721NAS	1					
$ ITEM	TW003602537023585NAS	40					
$ ITEM	TW003603497034529NAS	1					
$ ITEM	TW003617465171529NAS	10					
$ ITEM	TW003617465650727NAS	10					
$ ITEM	TW003617465800221NAS	5					
$ ITEM	TW003731455438321NAS	6					
$ ITEM	TW00375596271721NAS	1					
$ ITEM	TW00375678897436NAS	64					
$ ITEM	TW003825646370320NAS	1					
$ ITEM	TW003828767743325NAS	16					
$ ITEM	TW00385365017726NAS	2					
$ ITEM	TW0038714221007459NAS	25					
$ ITEM	TW00393624953616NAS	15					
$ ITEM	TW00393624994299NAS	13					
$ ITEM	TW0033299039935422NAS	12					
$ ITEM	TW003731454436724NAS	5					
$ ITEM	TW00393624979968NAS	25					
$ ITEM	TW003825646354320NAS	25					
$ ITEM	TW00316861773526NAS	18					
$ ITEM	TW00393624988014NAS	1					
$ ITEM	TW0035051865104926NAS	37					
$ ITEM	TW00385365312029NAS	17					
$ ITEM	TW003617465123627NAS	1					
$ ITEM	TW0035051011473425NAS	11					
$ ITEM	TW00381227828523NAS	14					
$ ITEM	TW0035051275045925NAS	215					
$ ITEM	TW00375678087127NAS	47					
$ ITEM	TW0035051865470229NAS	5					
$ ITEM	TW0035060305280137NAS	75					
$ ITEM	TW003617465124426NAS	89					
Amazon.co.uk	FBA ORDER - DETAILS TO BE CONFIRMED	Do Not Send	Do Not Send	Do Not Send	Do Not Send	PE2 7BW	UK
