$ CUSTOMER	Boulevard						
$ USER	rabeelboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	PO REFERENCE: 53533. PLEASE PICK, PACK AND DISPATCH THIS ORDER. PLEASE MAKE SURE THE PO REFERENCE IS CLEARLY MARKED ON THE PAPER WORK.						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	BVAR0588	1					
$ ITEM	BOUL0058	1					
$ ITEM	BOUL0067	1					
$ ITEM	BOUL0071	1					
$ ITEM	BOUL0820	1					
$ ITEM	BOUL0821	1					
$ ITEM	BOUL0881	1					
$ ITEM	BOUL0885	1					
$ ITEM	BOUL0897	1					
$ ITEM	BVAR0005	1					
$ ITEM	BVAR0144	1					
$ ITEM	BVAR0235	1					
$ ITEM	BOUL0057	1					
$ ITEM	BLVDD0742	1					
$ ITEM	BLVDD0590	1					
$ ITEM	BMOV0666	10					
$ ITEM	BMOV0660	1					
$ ITEM	BMOV0664	4					
$ ITEM	BMOV0655	1					
$ ITEM	BMOV0656	1					
$ ITEM	BMOV0661	1					
$ ITEM	BMOV0657	1					
$ ITEM	BMOV0665	1					
$ ITEM	BMOV0662	1					
$ ITEM	BLVDD0071	1					
$ ITEM	BLVDD0080	1					
$ ITEM	BVAR0241	2					
$ ITEM	BVAR0242	2					
$ ITEM	BVAR0261	1					
$ ITEM	BVAR0549	1					
$ ITEM	BVAR0560	1					
$ ITEM	BVAR0580	1					
$ ITEM	BVAR0584	1					
$ ITEM	BVAR0594	1					
$ ITEM	BVAR0601	1					
$ ITEM	BVAR0624	1					
$ ITEM	BVAR0722	1					
$ ITEM	BVED0126	1					
$ ITEM	BVED0132	1					
$ ITEM	BVENT0192	1					
$ ITEM	BVAR0546	1					
$ ITEM	BVAR0545	3					
$ ITEM	BVAR0543	1					
$ ITEM	BVAR0504	2					
$ ITEM	BVAR0505	1					
$ ITEM	BVAR0506	1					
$ ITEM	BVAR0509	1					
$ ITEM	BVAR0510	1					
$ ITEM	BVAR0514	1					
$ ITEM	BVAR0519	1					
$ ITEM	BVAR0523	1					
$ ITEM	BVAR0524	1					
$ ITEM	BVAR0526	1					
$ ITEM	BVENT0349	1					
$ ITEM	BVAR0585	1					
$ ITEM	BLVDD0104	1					
$ ITEM	BOUL0893	1					
$ ITEM	BVAR0206	1					
$ ITEM	BVAR0210	1					
$ ITEM	BVAR0207	1					
$ ITEM	BLVDD0700	1					
$ ITEM	BVENT0580	1					
$ ITEM	BOUL0564	4					
$ ITEM	BVENT0574	1					
$ ITEM	BVENT0321	1					
$ ITEM	BVENT0146	1					
$ ITEM	BOUL0456	1					
$ ITEM	BOUL0883	1					
$ ITEM	BLVDD0467	1					
$ ITEM	AVEDD0501	1					
$ ITEM	BLVDD0496	1					
$ ITEM	BLVDD0460	1					
$ ITEM	BLVDD0455	1					
$ ITEM	BVENT0600	1					
$ ITEM	BVENT0591	1					
$ ITEM	BLVDD0665	3					
$ ITEM	BLVDD0095	1					
$ ITEM	BLVDD0693	1					
$ ITEM	BVENT0602	1					
$ ITEM	BVENT0157	1					
$ ITEM	BLVDD0076	1					
$ ITEM	BVENT0166	1					
$ ITEM	BVAR0141	1					
$ ITEM	BVENT0854	1					
$ ITEM	BVENT0877	1					
$ ITEM	BVENT0780	1					
$ ITEM	BVENT0868	1					
$ ITEM	BVENT0540	1					
$ ITEM	BVENT0867	1					
$ ITEM	BVAR0625	1					
$ ITEM	BVAR0626	1					
$ ITEM	BVAR0589	1					
$ ITEM	BVAR0579	1					
$ ITEM	BLVDD0612	1					
$ ITEM	BLVDD0730	1					
$ ITEM	BOUL0045	1					
$ ITEM	BVENT0093	1					
$ ITEM	BVAR0230	1					
$ ITEM	BLVDD0127	1					
$ ITEM	BOUL0147	1					
$ ITEM	BLVDD0632	1					
$ ITEM	BOUL0055	1					
$ ITEM	BVAR0015	1					
$ ITEM	BLVDD0824	1					
$ ITEM	BVAR0231	1					
$ ITEM	BVAR0233	1					
$ ITEM	BOUL0063	1					
$ ITEM	BVAR0581	6					
Changeover Ltd T/A Storm	Stanley Street	(Corner of Stanley Street/Anston Avenue)		Worksop		SE1 7HX	UK
