$ CUSTOMER	BOULEVARD						
$ USER	rabeelboulevard						
$ CONSIGNEE	A						
$ CONSIGNEECONTACT							
$ ADDR1	B						
$ ADDR2	C						
$ ADDR3	D						
$ TOWN	E						
$ REGION	F						
$ COUNTRY	H						
$ DEFAULTUK							
$ POSTCODE	G						
$ CUSTREF1							
$ CUSTREF2							
$ CUSTREF3							
$ CUSTREF4							
$ DEFAULTSPECIALINSTRUCTIONS	COLLECTION TO BE ARRANGED BY BOULEVARD						
$ DEFAULTPACKINGNOTE	(none)						
$ DEFAULTCUSTREF1	(none)						
$ DEFAULTCUSTREF2	(none)						
$ DEFAULTCUSTREF3	(none)						
$ DEFAULTCUSTREF4	(none)						
$ DEFAULTUK							
$ ITEMORDER	PQ						
$ ITEM	C4DVD10131	31,345.00					
$ ITEM	SLIM0660	9,290.00					
$ ITEM	REVD2762	9,578.00					
$ ITEM	REVD2838	8,845.00					
$ ITEM	2352032    	4,460.00					
$ ITEM	REVD2840	3,920.00					
$ ITEM	MDV966	3,792.00					
$ ITEM	1707174    	2,389.00					
$ ITEM	DECULT13	2,366.00					
$ ITEM	BVENT0120	2,340.00					
$ ITEM	ILC3633	2,323.00					
$ ITEM	STRAXDVD038	2,021.00					
$ ITEM	7414682    	1,968.00					
$ ITEM	1768516    	1,833.00					
$ ITEM	MTD5434	1,761.00					
$ ITEM	DECULT16	1,561.00					
$ ITEM	CDR46633	1,521.00					
$ ITEM	DECULT11	1,425.00					
$ ITEM	5822912    	1,765.00					
$ ITEM	6960112    	1,210.00					
$ ITEM	9870767    	1,295.00					
$ ITEM	CDBERTIE1	1,084.00					
$ ITEM	5046791822    	1,040.00					
$ ITEM	CRIMKID017	1,031.00					
$ ITEM	6938902    	933					
$ ITEM	3870682    	913					
$ ITEM	BLVDD0466	886					
$ ITEM	2564693494    	852					
$ ITEM	CRIMKID015	834					
$ ITEM	B202	914					
$ ITEM	3950372    	786					
$ ITEM	blvdd0113-h	620					
$ ITEM	BLVDD0462-H	600					
$ ITEM	BLVDD0459-H	600					
$ ITEM	avedd0527-h	600					
$ ITEM	785512    	599					
$ ITEM	CRIMCD06	595					
$ ITEM	blvdd0072-h	589					
$ ITEM	9556425    	589					
$ ITEM	1746794    	587					
$ ITEM	FCE005	574					
$ ITEM	BLVDD0071-H	573					
$ ITEM	BLVDD0110-H	573					
$ ITEM	BLVDD0709-H	572					
$ ITEM	BLVDD0463-H	571					
$ ITEM	AVEDD0529-H	571					
$ ITEM	DMGTV28	570					
$ ITEM	BLVDD0044-H	569					
$ ITEM	blvdd0039-h	568					
$ ITEM	BOULKM0529	567					
$ ITEM	blvdd0737-h	567					
$ ITEM	BLVDD0043-H	567					
$ ITEM	blvdd0456-h	566					
$ ITEM	FMDV1110	565					
$ ITEM	BLVDD0694-H	565					
$ ITEM	BLVDD0421-H	565					
$ ITEM	avedd0561-h	551					
$ ITEM	blvdd0442-h	544					
$ ITEM	TMKCD068	518					
$ ITEM	BLVDD0224-H	513					
$ ITEM	STRAXDVD029	512					
$ ITEM	ILC3653	502					
$ ITEM	blvdd0158-h	501					
$ ITEM	blvdd0109-h	498					
$ ITEM	blvdd0668-h	497					
$ ITEM	BLVDD0108-H	496					
$ ITEM	BLVDD0662-H	491					
$ ITEM	AVEDD0535-H	491					
$ ITEM	AVEDD0557-H	489					
$ ITEM	BLVDD0785-H	484					
$ ITEM	AVEDD0513-H	472					
$ ITEM	ECHOLLOLPCD1	470					
$ ITEM	BLVDD0656-H	469					
$ ITEM	5060140000000    	467					
