
$ CUSTOMER	QUANTUM								
$ USER	stewartquantum								
$ CONSIGNEE	A								
$ CONSIGNEECONTACT	I								
$ ADDR1	B								
$ ADDR2	C								
$ ADDR3	D								
$ TOWN	E								
$ REGION	F								
$ COUNTRY	H								
$ DEFAULTUK									
$ POSTCODE	G								
$ CUSTREF1									
$ CUSTREF2									
$ CUSTREF3									
$ CUSTREF4									
$ DEFAULTSPECIALINSTRUCTIONS	Ref: R/A 52682 (Contact: Wayne - 01284 702600) 								
$ DEFAULTPACKINGNOTE	(none)								
$ DEFAULTCUSTREF1	(none)								
$ DEFAULTCUSTREF2	(none)								
$ DEFAULTCUSTREF3	(none)								
$ DEFAULTCUSTREF4	(none)								
$ DEFAULTUK									
$ ITEMORDER	PQ								
$ ITEM	DV10219	14							
$ ITEM	DV10505	9							
$ ITEM	DV10890	28							
$ ITEM	DV11946	8							
$ ITEM	FR00972	10							
$ ITEM	FR00989	4							
$ ITEM	FR00990	8							
$ ITEM	FR01000	11							
$ ITEM	FR01003	335							
$ ITEM	GRV10507	85							
$ ITEM	GW201	13							
$ ITEM	GW401	5							
$ ITEM	GW411	9							
$ ITEM	GW802	13							
$ ITEM	GW910	5							
$ ITEM	GW937	13							
$ ITEM	GW941	13							
$ ITEM	HL00320293	10							
$ ITEM	HL00320322	8							
$ ITEM	HL00320335	8							
$ ITEM	HL00320339	9							
$ ITEM	HL00320356	6							
$ ITEM	HL00320435	2							
$ ITEM	HL00320492	18							
$ ITEM	HL00320583	9							
$ ITEM	HL00320638	8							
$ ITEM	HL00320665	1							
$ ITEM	HL00320698	4							
$ ITEM	HL00320711	12							
$ ITEM	HL00320833	3							
$ ITEM	HL00320850	8							
$ ITEM	HL00320907	7							
$ ITEM	HL00320974	10							
$ ITEM	HL00321259	3							
$ ITEM	HL00321279	10							
$ ITEM	HL00641546	5							
$ ITEM	HL00641572	5							
$ ITEM	HL00641622	4							
$ ITEM	HL00641677	7							
$ ITEM	HL00641739	9							
$ ITEM	HL00641839	7							
$ ITEM	HL00642035	2							
$ ITEM	HL00642092	21							
$ ITEM	HL00642098	18							
$ ITEM	HL00642109	8							
$ ITEM	HL00642120	13							
$ ITEM	HL00642161	21							
$ ITEM	HL50448018	24							
$ ITEM	HL50448025	17							
$ ITEM	HL50448038	11							
$ ITEM	HL50448039	10							
$ ITEM	HOT100	4							
$ ITEM	HOT144	33							
$ ITEM	HOT153	6							
$ ITEM	HOT169	16							
$ ITEM	HOT178	19							
$ ITEM	HOT182	18							
$ ITEM	HOT222	19							
$ ITEM	HOT223	2							
$ ITEM	HUD700238	1							
$ ITEM	HUD700832	6							
$ ITEM	OK65087	29							
$ ITEM	RDR0037	8							
$ ITEM	RDR0041	8							
$ ITEM	RDR0080	7							
$ ITEM	RDR0121	6							
$ ITEM	RDR0126	7							
$ ITEM	RDR0133	8							
$ ITEM	RDR0151	3							
$ ITEM	RDR0176	9							
$ ITEM	RDR0202	12							
$ ITEM	RDR0334	5							
$ ITEM	DV10000	5							
$ ITEM	DV10005	5							
$ ITEM	DV10351	5							
$ ITEM	DV11253	5							
$ ITEM	DV11264	5							
$ ITEM	DV11363	5							
$ ITEM	DV11649	5							
$ ITEM	GW1000	5							
$ ITEM	GW303	5							
$ ITEM	GW310	5							
$ ITEM	GW407	5							
$ ITEM	GW827	5							
$ ITEM	GW926	5							
$ ITEM	GW936	5							
$ ITEM	HL00000336	5							
$ ITEM	HL00000348	5							
$ ITEM	HL00001210	5							
$ ITEM	HL00320306	5							
$ ITEM	HL00320360	5							
$ ITEM	HL00320401	5							
$ ITEM	HL00320475	5							
$ ITEM	HL00320644	5							
$ ITEM	HL00320785	5							
$ ITEM	HL00321005	5							
$ ITEM	HL00321187	5							
$ ITEM	HL00321289	5							
$ ITEM	HL00631536	5							
$ ITEM	HL00641541	5							
$ ITEM	HL00641607	5							
$ ITEM	HL00641787	5							
$ ITEM	HL00641994	5							
$ ITEM	HL00642024	5							
$ ITEM	HL00642070	5							
$ ITEM	HL00642117	5							
$ ITEM	HL00642155	5							
$ ITEM	HL00695907	5							
$ ITEM	HL14007777	5							
$ ITEM	HL14037714	5							
$ ITEM	HL50448003	5							
$ ITEM	HL50448014	5							
$ ITEM	RDR0051	5							
$ ITEM	RDR0088	5							
$ ITEM	RDR0139	5							
$ ITEM	RDR0177	5							
$ ITEM	RDR0193	5							
$ ITEM	DV10034	5							
$ ITEM	DV10340	5							
$ ITEM	DV11275	5							
$ ITEM	DV11495	5							
$ ITEM	DV11517	5							
$ ITEM	GW917	5							
$ ITEM	GW944	5							
$ ITEM	GW962	5							
$ ITEM	HL00000328	5							
$ ITEM	HL00001214	5							
$ ITEM	HL00001292	5							
$ ITEM	HL00320328	5							
$ ITEM	HL00320383	5							
$ ITEM	HL00320459	5							
$ ITEM	HL00320528	5							
$ ITEM	HL00320606	5							
$ ITEM	HL00320704	5							
$ ITEM	HL00320847	5							
$ ITEM	HL00320931	5							
$ ITEM	HL00641536	5							
$ ITEM	HL00641609	5							
$ ITEM	HL00641777	5							
$ ITEM	HL00641803	5							
$ ITEM	HL00641812	5							
$ ITEM	HL00641820	5							
$ ITEM	HL00642086	5							
$ ITEM	HL00642088	5							
$ ITEM	HL00642108	5							
$ ITEM	HL00695876	5							
$ ITEM	HL00695911	5							
$ ITEM	HL02500480	5							
$ ITEM	HL02501449	5							
$ ITEM	HL14021342	5							
$ ITEM	HL50448019	5							
$ ITEM	HL50448036	5							
$ ITEM	HOT703	5							
$ ITEM	HUD700843	5							
$ ITEM	RDR0086	5							
$ ITEM	RDR0119	5							
$ ITEM	RDR0123	5							
$ ITEM	RDR0130	5							
$ ITEM	RDR0132	5							
$ ITEM	RDR0167	5							
$ ITEM	RDR0185	5							
$ ITEM	RDR0201	5							
$ ITEM	RDR0337	5							
$ ITEM	VESTAPOL13115	5							
$ ITEM	VESTAPOL13124	5							
$ ITEM	VESTAPOL13126	5							
$ ITEM	DV10175	5							
$ ITEM	DV10318	5							
$ ITEM	FR00999	5							
$ ITEM	GW403	5							
$ ITEM	GW409	5							
$ ITEM	GW821	5							
$ ITEM	HL00000373	5							
$ ITEM	HL00320327	5							
$ ITEM	HL00320374	5							
$ ITEM	HL00320518	5							
$ ITEM	HL00320662	5							
$ ITEM	HL00320672	5							
$ ITEM	HL00320710	5							
$ ITEM	HL00320716	5							
$ ITEM	HL00331027	5							
$ ITEM	HL00641617	5							
$ ITEM	HL00641619	5							
$ ITEM	HL00641866	5							
$ ITEM	HL00641924	5							
$ ITEM	HL00642023	5							
$ ITEM	HL00642026	5							
$ ITEM	HL00642173	5							
$ ITEM	HL02500509	5							
$ ITEM	HL02500841	5							
$ ITEM	HL50448033	5							
$ ITEM	HOT179	5							
$ ITEM	HOT709	5							
$ ITEM	HUD700557	5							
$ ITEM	HUD700623	5							
$ ITEM	IMP908106	5							
$ ITEM	RDR0118	5							
$ ITEM	RDR0150	5							
$ ITEM	RDR0197	5							
$ ITEM	RDR0282	5							
$ ITEM	RDR0304	5							
$ ITEM	RDR0329	5							
$ ITEM	RDR0357	5							
$ ITEM	TF10000	5							
$ ITEM	VESTAPOL13122	5							
$ ITEM	HL00321223	10							
$ ITEM	HL00320784	10							
$ ITEM	HL00320274	10							
$ ITEM	HL00320603	10							
$ ITEM	HL00697393	10							
$ ITEM	HOT106	10							
$ ITEM	RDR0351	10							
$ ITEM	RDR0190	10							
$ ITEM	DV10230	10							
$ ITEM	HOT114	10							
$ ITEM	RDR0042	10							
$ ITEM	DV10043	10							
$ ITEM	DV10263	10							
$ ITEM	DV11132	10							
$ ITEM	RDR0125	10							
$ ITEM	RDR0341	10							
$ ITEM	RDR0352	10							
$ ITEM	RDR0360	10							
$ ITEM	RDR0362	10							
$ ITEM	HL00320865	10							
$ ITEM	HL00641795	10							
$ ITEM	DV10593	10							
$ ITEM	DV11440	10							
$ ITEM	HL00320512	10							
$ ITEM	HL00320797	10							
$ ITEM	HL00320848	10							
$ ITEM	HL00641873	10							
$ ITEM	HL00642165	10							
$ ITEM	HL14004679	10							
$ ITEM	HL14037790	10							
$ ITEM	HOT161	10							
$ ITEM	RDR0194	10							
$ ITEM	RDR0205	10							
$ ITEM	RDR0332	10							
$ ITEM	RDR0333	10							
$ ITEM	RDR0339	10							
$ ITEM	RDR0345	10							
$ ITEM	RDR0359	10							
$ ITEM	RDR0361	10							
$ ITEM	DV10901	10							
$ ITEM	FR00998	10							
$ ITEM	HL00000347	10							
$ ITEM	HL00320343	10							
$ ITEM	HL00320477	10							
$ ITEM	HL00320506	10							
$ ITEM	HL00320602	10							
$ ITEM	HL00320725	10							
$ ITEM	HL00320787	10							
$ ITEM	HL00320879	10							
$ ITEM	HL00641668	10							
$ ITEM	HL00641955	10							
$ ITEM	HL00642069	10							
$ ITEM	HL00642103	10							
$ ITEM	HL00642147	10							
$ ITEM	HOT707	10							
$ ITEM	PVS002	10							
$ ITEM	RDR0054	10							
$ ITEM	RDR0153	10							
$ ITEM	VESTAPOL13121	10							
$ ITEM	HL00320332	12							
$ ITEM	RDR0212	12							
$ ITEM	GW810	12							
$ ITEM	HL00000349	12							
$ ITEM	HL00320263	12							
$ ITEM	HL00320664	12							
$ ITEM	HL00320723	12							
