$ CUSTOMER	BOULEVARD
$ USER	rabeelboulevard
$ CONSIGNEE	A
$ CONSIGNEECONTACT	Crimson Fish Ltd
$ ADDR1	B
$ ADDR2	C
$ ADDR3	D
$ TOWN	E
$ REGION	F
$ COUNTRY	H
$ DEFAULTUK	UK
$ POSTCODE	G
$ CUSTREF1	(none)
$ CUSTREF2	(none)
$ CUSTREF3	(none)
$ CUSTREF4	(none)
$ DEFAULTSPECIALINSTRUCTIONS	PLEASE PICK AND PACK BUT DO NOT DISPATCH UNTIL YOU HAVE NOTIFIED US ON THE AMOUNT OF CARTONS THERE ARE SO I CAN GIVE YOU THE REFERENCE NUMBER.
$ DEFAULTPACKINGNOTE	(none)
$ DEFAULTCUSTREF1	(none)
$ DEFAULTCUSTREF2	(none)
$ DEFAULTCUSTREF3	(none)
$ DEFAULTCUSTREF4	(none)
$ DEFAULTUK
$ ITEMORDER	PQ
$ ITEM	BLVDD0460	5
$ ITEM	BLVDD0471	5
$ ITEM	BLVDD0467	5
$ ITEM	BLVDD0475	4
$ ITEM	BLVDD0455	5
$ ITEM	BVENT0192	5
$ ITEM	GUDVD6594	5
$ ITEM	BVAR0686	5
$ ITEM	BVENT0639	5
$ ITEM	BOUL0449	5
$ ITEM	BVENT0618	5
$ ITEM	BVENT0974	5
$ ITEM	BVENT0632	5
$ ITEM	BOUL0328	5
$ ITEM	BVENT0645	5
$ ITEM	BVENT0958	5
$ ITEM	BWLIM238	5
$ ITEM	BOUL0290	5
$ ITEM	B210	5
$ ITEM	4775469	5
$ ITEM	4775700	5
$ ITEM	703912	5
$ ITEM	BVENT0103	5
$ ITEM	BVENT0600	5
$ ITEM	BVENT0669	5
$ ITEM	BVENT0575	5
$ ITEM	BLVDD0460	5
$ ITEM	BLVDD0471	5
$ ITEM	WNRD2272	5
$ ITEM	BOUL0453	5
$ ITEM	BLVDD0467	5
$ ITEM	BLVDD0475	4
$ ITEM	BLVDD0455	5
$ ITEM	BVENT0598	5
$ ITEM	FMDV1166	5
$ ITEM	BVENT0573	5
$ ITEM	BOUL0868	5
$ ITEM	BLVDD0495	5
$ ITEM	BVAR0242	5
$ ITEM	BOUL0057	5
$ ITEM	BVAR0584	5
$ ITEM	BLVDD0693	5
$ ITEM	BVAR0231	3
$ ITEM	BVAR0625	5
$ ITEM	BOUL0071	5
$ ITEM	INF020	5
$ ITEM	BMOV0660	5
$ ITEM	GUDVD6594	5
$ ITEM	9780954835811	3
$ ITEM	TEM224520	10
$ ITEM	AVC623	1
$ ITEM	BOUL0290	2
$ ITEM	BVENT0619	3
$ ITEM	BOUL0693	3
$ ITEM	BVENT0143	4
$ ITEM	BVENT0320	4
$ ITEM	BVENT0574	4
$ ITEM	BVENT0573	4
$ ITEM	CRIMPCD022	5
$ ITEM	BOUL0292	5
$ ITEM	BOUL0320	5
$ ITEM	BVENT0639	5
$ ITEM	BVENT0644	5
$ ITEM	BVENT0643	5
$ ITEM	SSCD16	5
$ ITEM	CRIMCD513	5
$ ITEM	CRIMCD430	5
$ ITEM	CRIMCD480	5
$ ITEM	CRIMCD411	5
$ ITEM	APWCD4002	5
$ ITEM	VVR1023562	5
$ ITEM	KRKCD006	5
$ ITEM	EMPRCD675	5
$ ITEM	LTDMG013	5
$ ITEM	BOUL0318	5
$ ITEM	CDGJEWEL017	5
$ ITEM	5304542	3
$ ITEM	KRKCD056	5
$ ITEM	CDGJEWEL019	5
$ ITEM	BVENT0645	5
$ ITEM	724386000000	5
$ ITEM	B210	5
$ ITEM	BOUL0699	5
$ ITEM	BVENT0300	5
$ ITEM	BVENT0321	5
$ ITEM	BVENT0669	5
$ ITEM	BVENT0318	5
$ ITEM	BVENT0319	5
$ ITEM	BVENT0575	5
$ ITEM	BVENT0303	5
$ ITEM	BVENT0146	5
$ ITEM	BVENT0580	5
$ ITEM	BVENT0581	5
$ ITEM	WNRD2272	5
$ ITEM	WNRD2275	5
$ ITEM	BVENT0593	5
$ ITEM	BVENT0601	5
$ ITEM	BVENT0311	5
$ ITEM	STRAXDVD030	5
$ ITEM	WNRD7021	5
$ ITEM	BVENT0308	5
$ ITEM	BOUL0153	5
$ ITEM	BVENT0306	5
$ ITEM	BVENT0310	5
$ ITEM	BVAR0242	5
Crimson Fish Ltd	15 Lawrence Leys			Bloxham	Banbury	OX15 4NU	UK
