"Transfer # : 31,474 To Stock Point : Wellington - W35 - 6 On 11/12/2013  10:54:14",Stock Point : Wellington - W35 - 6,,,,,The Manager ,47 New Street,Wellington,,TF1 1LU
3358,,Metal Tealight Latern (12)in,12,£1.49,,,,,,
3360,,*Red Pack of 4 Beaded Napkin Ring (12),6,£0.79,,,,,,
3361,,*Silver Pack of 4 Beaded Napkin Ring (12),6,£0.79,,,,,,
3368,,*Grey Pack of 4 Beaded Napkin ring (12),4,£0.79,,,,,,
3369,,*Red Pack of 4 Beaded Coaster (12),6,£0.79,,,,,,
3370,,*Silver Pack of 4 Beaded Coaster (12),6,£0.79,,,,,,
3374,,Butterfly and Rose Wall hook (4),4,£1.49,,,,,,
3545,,Ceramic Figure Russian Doll 3 Colours,6,£0.59,,,,,,
3546,,Polyresin Pictureframe Baby 5x7 cm (12)d,12,£0.99,,,,,,
3549,,Polyresin Baby in Basket 8x8cm 3 ass. (3)d,6,£0.99,,,,,,
3558,,Plastic Bracelet Zipper 10 Colours (singles),12,£0.79,,,,,,
3563,,Rubber Bands Lucky Bands 4 Animal (singles),12,£0.29,,,,,,
3642,,*Access 3x Pris Curl Ribb,6,£0.49,,,,,,
3646,,*partyware cups 6x9 oz santa & sn,6,£0.49,,,,,,
3653,,*tags xmas 12 double layer,6,£0.49,,,,,,
3654,,*wrap xmas foiled sheets with tags,12,£0.49,,,,,,
3728,,birdhouse wall dec (singles),4,£1.29,,,,,,
3732,,pack of decoration roses16(D),16,£0.99,,,,,,
3733,,gilt floral heart wall hanger (singles),4,£1.49,,,,,,
3975,,Colour Adhesive Mirror (4),4,£0.49,,,,,,
3977,,Wildflower Penpot (4),4,£0.49,,,,,,
4015,,*square glass tea light holder(6) D,6,£0.39,,,,,,
4016,,*rd clear tea light holder6(D),12,£0.39,,,,,,
4065,,*gold pack 4 beaded coaster (12),6,£0.79,,,,,,
4078,,*slimline traditional assorted calender,6,£0.49,,,,,,
4079,,*slimline scenery calender,6,£0.49,,,,,,
4080,,*slimline pet animal calender,6,£0.49,,,,,,
4081,,*slim nature animal calender,6,£0.49,,,,,,
4084,,*med cupcakes baking calender,5,£0.69,,,,,,
4085,,*med photo flowers calender,4,£0.69,,,,,,
4088,,*slim diary on header card,4,£0.49,,,,,,
4089,,*silm photo favourites calender,4,£0.69,,,,,,
4098,,*xmas 3 mixed size gift bag,8,£0.69,,,,,,
4099,,*xmas pack 3 bottle bags,8,£0.49,,,,,,
4150,,*box of choc/champagne/gold string and bows,8,£0.49,,,,,,
4156,,*xmas 4 sheet wrap with 4 tag,12,£0.39,,,,,,
4159,,*santa stop here decoration,8,£0.49,,,,,,
4160,,*xmas santa letter + pouch,8,£0.49,,,,,,
4164,,*actvity M.Y.O xmas scene,8,£0.49,,,,,,
4168,,*activity count down to xmas,8,£0.49,,,,,,
4181,,*xmas adult santa hat + beard,6,£0.99,,,,,,
4184,,*xmas pet bandana,12,£0.39,,,,,,
4289,,R. Dahl fantastic mr fox book,4,£0.99,,,,,,
4324,,small tin box,6,£1.29,,,,,,
4325,,medium tin box,6,£1.49,,,,,,
4327,,*oval meat platter,4,£1.49,,,,,,
4335,,*ast colour star tree deco 4 pk,6,£0.69,,,,,,
4348,,scratch and colour craft set,6,£0.99,,,,,,
4349,,craftset 6 assorted activities,6,£0.99,,,,,,
4350,,dot-dot 3D craftset 5 pieces PP,6,£1.19,,,,,,
4351,,bag of marbles galaxy theme 6 ast  colours,4,£0.99,,,,,,
4352,,watercolour paint set 18 colour in set,6,£0.99,,,,,,
4358,,glass jar 3 ast colours 12cm,12,£0.99,,,,,,
4359,,baking forms 6 ast shapes,6,£0.99,,,,,,
4361,,disney sml teaset ast designs 7/8 pieces pp,4,£0.99,,,,,,
4362,,colander 4 assorted colours,4,£0.99,,,,,,
