Transfer # : Add from stockpoint : Wellington ,Stock Point : WELLINGTON - W35 - 6,,,,,Karen Bebbington,The Shelter shop,47 New Street,Wellington,TF1 1LU
4369,,glass pot candle muted colours (12) D,6,£0.99,,,,,,
4370,,pack 4 muted pastel tealights,6,£0.99,,,,,,
4371,,oriental glass candle,6,£0.99,,,,,,
4372,,pack of 6 scented drawer balls (24D),24,£0.79,,,,,,
4375,,metal city skyline hook,4,£1.49,,,,,,
4377,,green and pink blossom glass photframe,4,£1.49,,,,,,
4378,,green and pink blossom glass tealight holder,6,£1.29,,,,,,
3977,,wild flower pen pot,6,£0.49,,,,,,
3980,,USA flag teabag holder,4,£0.69,,,,,,
2345,,retro queen teabag holder,4,£0.69,,,,,,
3986,,blue stripe teabag holder,4,£0.99,,,,,,
4386,,single metal number hook,4,£0.99,,,,,,
4387,,single letter metal hook,4,£0.99,,,,,,
4365,,pack of 3 plastic plates neon,2,£0.99,,,,,,
4366,,pack of 2 ice cube trays neon,4,£0.99,,,,,,
4367,,plastic watering jug neon,2,£0.99,,,,,,
4368,,Large white heart tealight hldr,4,£0.99,,,,,,
4373,,wild flower gift bag,6,£0.49,,,,,,
4374,,vintage floral penpot,6,£0.49,,,,,,
4379,,love / home sign neon,2,£2.99,,,,,,
4380,,bulldog keyring neon ,6,£0.99,,,,,,
4381,, bird keyring neon,6,£0.99,,,,,,
4382,, buddha keyring neon ,6,£0.99,,,,,,
4383,,birdhouse photo / memo clip neon  ,6,£0.99,,,,,,
4385,,wire mesh pot with handle neon,6,£0.99,,,,,,
4384,, birdcage photo frame neon,4,£1.99,,,,,,
4388,,pack 10 jumbo plastic cups,6,£0.99,,,,,,
4389,,cut out neon coloured butterfly tealight holder (12) D,6,£0.99,,,,,,
4393,,ornate magnet frame neon,4,£0.99,,,,,,
4394,,ornate frame neon,4,£0.99,,,,,,
4395,,3 ast bluebell canvas picture (1 item=1 pic),2,£2.99,,,,,,
4396,, 2 assorted goldleaf beige white flower canvas picture (1 item = 1 pic),2,£2.99,,,,,,
