"Transfer # : 31,759 To Stock Point : ANNIESLAND - A10 - 8 On 20/01/2014  14:38:14",Stock Point : ANNIESLAND - A10 - 8,,,,,The  Manager,1623 Great Western Road,Anniesland,Glasgow,G13 1LT
3425,,ceramic fragrance heart candles 3 ast,6.000,£2.49,,,,,,
3428,,metal glass hanging lantern with tealight(12)D,12.000,£1.99,,,,,,
3980,,USA Flag Teabag Holder (12) D,8.000,£0.69,,,,,,
3986,,Blue stripe Teabag Holder (12) D,6.000,£0.69,,,,,,
4365,,pack of 3 plastic plates neon,6.000,£0.99,,,,,,
4366,,pack of 2 ice cube trays neon,6.000,£0.99,,,,,,
4367,,plastic watering jug neon,6.000,£0.99,,,,,,
4368,,Large white heart tealight hldr,4.000,£0.99,,,,,,
4369,,muted pastel colours glass candle 4 assorted (12)d,12.000,£0.99,,,,,,
4370,,4 pk muted pastel tealights (pack of 4 = 1 unit),8.000,£0.99,,,,,,
4371,,oriental/blossom glass candle 2 ast,6.000,£0.99,,,,,,
4373,,wild flower small gift bag,6.000,£0.49,,,,,,
4375,,metal city skyline 4 hooks 42x15cm,4.000,£1.49,,,,,,
4377,,grn + pink cherry blossom glass photoframe,4.000,£1.49,,,,,,
4378,,grn/pink cherry blossom square t-light holdr,4.000,£1.29,,,,,,
4380,,plastic bulldog keyring neon,6.000,£0.99,,,,,,
4381,,plastic bird keyring neon,6.000,£0.99,,,,,,
4382,,plastic buddha keyring neon,6.000,£0.99,,,,,,
4383,,birdhouse photo clip-holder neon,4.000,£0.99,,,,,,
4385,,wire mesh candle holder with handle neon,6.000,£0.99,,,,,,
4386,,single metal number hook,6.000,£0.99,,,,,,
4387,,single letter metal hook,6.000,£0.99,,,,,,
4388,,pack 10 jumbo plastic cups,6.000,£0.99,,,,,,
4389,,butterfly t-light holder neon,8.000,£0.99,,,,,,
4393,,ornate magnet frame neon,4.000,£0.99,,,,,,
4394,,ornate frame neon 15x20cm,4.000,£0.99,,,,,,
"Transfer # : 31,760 To Stock Point : ILKLEY - I31 - 8 On 20/01/2014  14:38:15",Stock Point : ILKLEY - I31 - 8,,,,,Janet Wilkinson,2 Spa Buildings,The Grove,Ilkley,LS29 9NQ
3425,,ceramic fragrance heart candles 3 ast,12.000,£2.49,,,,,,
3428,,metal glass hanging lantern with tealight(12)D,12.000,£1.99,,,,,,
3980,,USA Flag Teabag Holder (12) D,8.000,£0.69,,,,,,
3986,,Blue stripe Teabag Holder (12) D,6.000,£0.69,,,,,,
4365,,pack of 3 plastic plates neon,4.000,£0.99,,,,,,
4366,,pack of 2 ice cube trays neon,4.000,£0.99,,,,,,
4367,,plastic watering jug neon,4.000,£0.99,,,,,,
4368,,Large white heart tealight hldr,6.000,£0.99,,,,,,
4369,,muted pastel colours glass candle 4 assorted (12)d,12.000,£0.99,,,,,,
4370,,4 pk muted pastel tealights (pack of 4 = 1 unit),6.000,£0.99,,,,,,
4371,,oriental/blossom glass candle 2 ast,6.000,£0.99,,,,,,
4373,,wild flower small gift bag,6.000,£0.49,,,,,,
4375,,metal city skyline 4 hooks 42x15cm,4.000,£1.49,,,,,,
4377,,grn + pink cherry blossom glass photoframe,6.000,£1.49,,,,,,
4378,,grn/pink cherry blossom square t-light holdr,6.000,£1.29,,,,,,
4379,,'love' / 'home' word sign neon,6.000,£2.99,,,,,,
4380,,plastic bulldog keyring neon,6.000,£0.99,,,,,,
4381,,plastic bird keyring neon,6.000,£0.99,,,,,,
4382,,plastic buddha keyring neon,6.000,£0.99,,,,,,
4383,,birdhouse photo clip-holder neon,6.000,£0.99,,,,,,
4384,,wire birdcage 6x4 photo frame neon,6.000,£1.99,,,,,,
4385,,wire mesh candle holder with handle neon,6.000,£0.99,,,,,,
4386,,single metal number hook,6.000,£0.99,,,,,,
4387,,single letter metal hook,6.000,£0.99,,,,,,
4389,,butterfly t-light holder neon,8.000,£0.99,,,,,,
4393,,ornate magnet frame neon,4.000,£0.99,,,,,,
4394,,ornate frame neon 15x20cm,4.000,£0.99,,,,,,
4395,,3 ast bluebell canvas 30x40cm (1 item=1 canvas),4.000,£2.99,,,,,,
4396,,cream cherry blossm canvas 2 ast designs 30x30cm,4.000,£2.99,,,,,,
"Transfer # : 31,761 To Stock Point : GLASGOW (BOTAN) - G38 - 6 On 20/01/2014  14:38:16",Stock Point : GLASGOW (BOTAN) - G38 - 6,,,,,Lynne Bracken,679 Great Western Rd,Glasgow,Scotland,G12 8RA
3425,,ceramic fragrance heart candles 3 ast,12.000,£2.49,,,,,,
3428,,metal glass hanging lantern with tealight(12)D,12.000,£1.99,,,,,,
3980,,USA Flag Teabag Holder (12) D,8.000,£0.69,,,,,,
3986,,Blue stripe Teabag Holder (12) D,6.000,£0.69,,,,,,
4365,,pack of 3 plastic plates neon,4.000,£0.99,,,,,,
4366,,pack of 2 ice cube trays neon,4.000,£0.99,,,,,,
4367,,plastic watering jug neon,4.000,£0.99,,,,,,
4368,,Large white heart tealight hldr,6.000,£0.99,,,,,,
4369,,muted pastel colours glass candle 4 assorted (12)d,12.000,£0.99,,,,,,
4370,,4 pk muted pastel tealights (pack of 4 = 1 unit),8.000,£0.99,,,,,,
4371,,oriental/blossom glass candle 2 ast,6.000,£0.99,,,,,,
4373,,wild flower small gift bag,6.000,£0.49,,,,,,
4375,,metal city skyline 4 hooks 42x15cm,6.000,£1.49,,,,,,
4377,,grn + pink cherry blossom glass photoframe,6.000,£1.49,,,,,,
4378,,grn/pink cherry blossom square t-light holdr,6.000,£1.29,,,,,,
4379,,'love' / 'home' word sign neon,6.000,£2.99,,,,,,
4380,,plastic bulldog keyring neon,6.000,£0.99,,,,,,
4381,,plastic bird keyring neon,6.000,£0.99,,,,,,
4382,,plastic buddha keyring neon,6.000,£0.99,,,,,,
4383,,birdhouse photo clip-holder neon,6.000,£0.99,,,,,,
4384,,wire birdcage 6x4 photo frame neon,6.000,£1.99,,,,,,
4385,,wire mesh candle holder with handle neon,6.000,£0.99,,,,,,
4386,,single metal number hook,12.000,£0.99,,,,,,
4387,,single letter metal hook,12.000,£0.99,,,,,,
4388,,pack 10 jumbo plastic cups,4.000,£0.99,,,,,,
4389,,butterfly t-light holder neon,8.000,£0.99,,,,,,
4393,,ornate magnet frame neon,6.000,£0.99,,,,,,
4394,,ornate frame neon 15x20cm,6.000,£0.99,,,,,,
4395,,3 ast bluebell canvas 30x40cm (1 item=1 canvas),4.000,£2.99,,,,,,
4396,,cream cherry blossm canvas 2 ast designs 30x30cm,4.000,£2.99,,,,,,
